Number,Sex,Victim,Fake News type,Sources,Rip off
1725,Female,0,Deliberate Misinformation,Social Media,1
1726,Male,0,Deliberate Misinformation,The Internet,1
1727,Female,0,Deliberate Misinformation,The Internet,0
1728,Male,0,Social Media Sharing,Social Media,0
1729,Female,0,Deliberate Misinformation,Word of Mouth,0
1730,Male,0,Social Media Sharing,Word of Mouth,1
1731,Male,1,Deliberate Misinformation,Word of Mouth,0
1732,Male,0,Social Media Sharing,Social Media,1
1733,Female,1,Deliberate Misinformation,The Internet,0
1734,Female,1,Deliberate Misinformation,Social Media,0
1735,Male,1,Deliberate Misinformation,Social Media,0
1736,Female,0,Social Media Sharing,Social Media,0
1737,Male,1,Deliberate Misinformation,The Internet,0
1738,Male,1,Social Media Sharing,Social Media,0
1739,Female,0,Social Media Sharing,The Internet,1
1740,Male,1,Social Media Sharing,Social Media,0
1741,Male,0,Deliberate Misinformation,Word of Mouth,1
1742,Female,1,Social Media Sharing,Social Media,1
1743,Male,1,Social Media Sharing,The Internet,0
1744,Female,0,Deliberate Misinformation,Word of Mouth,0
1745,Male,0,Social Media Sharing,The Internet,1
1746,Male,0,Social Media Sharing,The Internet,1
1747,Male,1,Deliberate Misinformation,Social Media,1
1748,Female,0,Deliberate Misinformation,The Internet,0
1749,Male,0,Social Media Sharing,The Internet,0
1750,Male,1,Social Media Sharing,Social Media,1
1751,Female,1,Social Media Sharing,Social Media,1
1752,Male,1,Deliberate Misinformation,The Internet,0
1753,Female,0,Deliberate Misinformation,The Internet,1
1754,Female,1,Social Media Sharing,Word of Mouth,0
1755,Female,1,Social Media Sharing,The Internet,1
1756,Male,1,Deliberate Misinformation,Social Media,1
1757,Male,0,Deliberate Misinformation,Word of Mouth,1
1758,Male,0,Social Media Sharing,Social Media,1
1759,Female,1,Deliberate Misinformation,The Internet,1
1760,Male,1,Deliberate Misinformation,Social Media,1
1761,Male,1,Social Media Sharing,Social Media,0
1762,Female,1,Social Media Sharing,Social Media,0
1763,Female,0,Deliberate Misinformation,Social Media,1
1764,Female,0,Social Media Sharing,The Internet,0
1765,Male,1,Deliberate Misinformation,Social Media,1
1766,Male,1,Social Media Sharing,Word of Mouth,0
1767,Male,1,Social Media Sharing,The Internet,0
1768,Female,1,Deliberate Misinformation,The Internet,0
1769,Female,1,Social Media Sharing,Word of Mouth,1
1770,Male,1,Deliberate Misinformation,Word of Mouth,1
1771,Female,0,Deliberate Misinformation,Word of Mouth,1
1772,Female,1,Social Media Sharing,Word of Mouth,0
1773,Female,1,Deliberate Misinformation,Word of Mouth,0
1774,Male,0,Social Media Sharing,The Internet,1
1775,Female,1,Social Media Sharing,Word of Mouth,1
1776,Female,1,Social Media Sharing,The Internet,0
1777,Male,0,Social Media Sharing,Word of Mouth,1
1778,Female,0,Social Media Sharing,Social Media,0
1779,Female,0,Deliberate Misinformation,Social Media,1
1780,Male,1,Deliberate Misinformation,Word of Mouth,0
1781,Female,0,Social Media Sharing,Word of Mouth,0
1782,Female,1,Deliberate Misinformation,Word of Mouth,1
1783,Male,0,Social Media Sharing,Word of Mouth,0
1784,Male,0,Deliberate Misinformation,Word of Mouth,1
1785,Male,1,Social Media Sharing,Word of Mouth,0
1786,Female,1,Social Media Sharing,Word of Mouth,1
1787,Male,0,Social Media Sharing,Word of Mouth,0
1788,Male,1,Social Media Sharing,Social Media,1
1789,Female,1,Social Media Sharing,Social Media,1
1790,Male,1,Deliberate Misinformation,Word of Mouth,1
1791,Female,1,Deliberate Misinformation,Word of Mouth,1
1792,Male,0,Deliberate Misinformation,The Internet,0
1793,Female,0,Social Media Sharing,Social Media,1
1794,Male,0,Social Media Sharing,The Internet,1
1795,Female,0,Deliberate Misinformation,The Internet,0
1796,Male,0,Social Media Sharing,Word of Mouth,1
1797,Female,1,Social Media Sharing,The Internet,0
1798,Male,1,Social Media Sharing,Social Media,0
1799,Female,1,Social Media Sharing,Word of Mouth,1
1800,Female,1,Deliberate Misinformation,The Internet,0
1801,Male,0,Deliberate Misinformation,Social Media,1
1802,Male,1,Deliberate Misinformation,Word of Mouth,0
1803,Male,0,Deliberate Misinformation,The Internet,0
1804,Female,0,Deliberate Misinformation,Word of Mouth,0
1805,Male,1,Social Media Sharing,Word of Mouth,0
1806,Male,0,Social Media Sharing,The Internet,0
1807,Female,1,Social Media Sharing,Word of Mouth,1
1808,Male,0,Social Media Sharing,Word of Mouth,1
1809,Female,1,Deliberate Misinformation,Social Media,0
1810,Female,1,Deliberate Misinformation,Word of Mouth,1
1811,Male,0,Deliberate Misinformation,Social Media,0
1812,Female,1,Social Media Sharing,Social Media,1
1813,Male,1,Social Media Sharing,Social Media,1
1814,Male,0,Social Media Sharing,The Internet,0
1815,Female,1,Social Media Sharing,The Internet,0
1816,Female,0,Deliberate Misinformation,The Internet,1
1817,Male,1,Social Media Sharing,Word of Mouth,0
1818,Male,1,Social Media Sharing,Word of Mouth,0
1819,Female,0,Deliberate Misinformation,Social Media,0
1820,Male,0,Deliberate Misinformation,Social Media,1
1821,Male,0,Deliberate Misinformation,The Internet,1
1822,Male,1,Deliberate Misinformation,Social Media,1
1823,Male,0,Deliberate Misinformation,The Internet,1
1824,Male,0,Social Media Sharing,The Internet,0
1825,Female,1,Deliberate Misinformation,Social Media,0
1826,Female,0,Deliberate Misinformation,Social Media,1
1827,Female,0,Deliberate Misinformation,Word of Mouth,0
1828,Female,1,Deliberate Misinformation,The Internet,1
1829,Female,1,Deliberate Misinformation,The Internet,1
1830,Female,1,Social Media Sharing,Word of Mouth,1
1831,Male,1,Social Media Sharing,Word of Mouth,1
1832,Male,0,Deliberate Misinformation,Word of Mouth,1
1833,Male,0,Deliberate Misinformation,Social Media,0
1834,Male,0,Social Media Sharing,Social Media,0
1835,Female,1,Deliberate Misinformation,The Internet,1
1836,Male,1,Social Media Sharing,Word of Mouth,1
1837,Male,0,Deliberate Misinformation,Word of Mouth,0
1838,Female,0,Deliberate Misinformation,Word of Mouth,0
1839,Female,1,Deliberate Misinformation,The Internet,1
1840,Female,1,Deliberate Misinformation,Social Media,0
1841,Female,0,Deliberate Misinformation,Word of Mouth,1
1842,Female,0,Deliberate Misinformation,Social Media,1
1843,Male,1,Deliberate Misinformation,Word of Mouth,0
1844,Female,0,Deliberate Misinformation,The Internet,1
1845,Male,0,Social Media Sharing,The Internet,0
1846,Male,1,Deliberate Misinformation,Social Media,0
1847,Male,1,Social Media Sharing,Social Media,0
1848,Male,0,Deliberate Misinformation,Social Media,1
1849,Female,0,Deliberate Misinformation,The Internet,1
1850,Male,0,Deliberate Misinformation,The Internet,1
1851,Female,0,Deliberate Misinformation,The Internet,1
1852,Female,1,Social Media Sharing,The Internet,1
1853,Male,1,Deliberate Misinformation,The Internet,0
1854,Female,0,Deliberate Misinformation,Social Media,0
1855,Female,0,Social Media Sharing,Word of Mouth,1
1856,Male,1,Deliberate Misinformation,Social Media,0
1857,Male,1,Social Media Sharing,The Internet,1
1858,Male,1,Social Media Sharing,Social Media,0
1859,Male,1,Social Media Sharing,Social Media,0
1860,Female,0,Deliberate Misinformation,Social Media,1
1861,Female,0,Social Media Sharing,Word of Mouth,1
1862,Male,1,Social Media Sharing,The Internet,0
1863,Male,1,Deliberate Misinformation,Social Media,1
1864,Male,1,Social Media Sharing,Word of Mouth,1
1865,Male,0,Social Media Sharing,The Internet,1
1866,Female,0,Social Media Sharing,Social Media,0
1867,Female,1,Social Media Sharing,Social Media,0
1868,Female,1,Social Media Sharing,The Internet,1
1869,Female,0,Social Media Sharing,The Internet,0
1870,Female,0,Social Media Sharing,Social Media,1
1871,Male,0,Deliberate Misinformation,The Internet,0
1872,Male,1,Social Media Sharing,Word of Mouth,0
1873,Female,1,Deliberate Misinformation,Social Media,0
1874,Female,1,Social Media Sharing,The Internet,1
1875,Female,1,Social Media Sharing,Social Media,0
1876,Male,0,Social Media Sharing,The Internet,1
1877,Female,0,Social Media Sharing,The Internet,0
1878,Male,0,Social Media Sharing,Social Media,0
1879,Female,0,Deliberate Misinformation,Word of Mouth,1
1880,Female,0,Social Media Sharing,Social Media,1
1881,Female,1,Deliberate Misinformation,The Internet,1
1882,Female,0,Social Media Sharing,Word of Mouth,0
1883,Male,1,Deliberate Misinformation,The Internet,0
1884,Male,1,Social Media Sharing,The Internet,0
1885,Male,0,Social Media Sharing,Word of Mouth,0
1886,Female,1,Social Media Sharing,Social Media,0
1887,Female,0,Deliberate Misinformation,Word of Mouth,0
1888,Female,0,Deliberate Misinformation,Social Media,1
1889,Female,0,Social Media Sharing,Social Media,0
1890,Male,1,Deliberate Misinformation,The Internet,1
1891,Male,1,Deliberate Misinformation,The Internet,0
1892,Female,0,Deliberate Misinformation,Social Media,1
1893,Male,0,Social Media Sharing,Social Media,0
1894,Female,0,Deliberate Misinformation,Social Media,1
1895,Female,0,Social Media Sharing,Word of Mouth,1
1896,Female,0,Social Media Sharing,Word of Mouth,1
1897,Male,1,Deliberate Misinformation,Social Media,0
1898,Male,1,Social Media Sharing,Social Media,0
1899,Female,0,Social Media Sharing,Social Media,1
1900,Female,0,Social Media Sharing,The Internet,1
1901,Male,1,Deliberate Misinformation,Word of Mouth,1
1902,Male,1,Deliberate Misinformation,Word of Mouth,0
1903,Female,0,Deliberate Misinformation,Word of Mouth,1
1904,Female,0,Social Media Sharing,Social Media,0
1905,Female,1,Social Media Sharing,The Internet,1
1906,Male,0,Social Media Sharing,Word of Mouth,1
1907,Male,0,Social Media Sharing,The Internet,0
1908,Female,1,Social Media Sharing,Word of Mouth,1
1909,Male,1,Social Media Sharing,Word of Mouth,0
1910,Female,0,Social Media Sharing,Word of Mouth,0
1911,Female,1,Social Media Sharing,Social Media,1
1912,Male,0,Social Media Sharing,Social Media,0
1913,Female,0,Deliberate Misinformation,Social Media,0
1914,Male,0,Deliberate Misinformation,Social Media,0
1915,Male,1,Deliberate Misinformation,Word of Mouth,1
1916,Female,1,Deliberate Misinformation,Social Media,1
1917,Male,1,Deliberate Misinformation,Social Media,1
1918,Female,0,Deliberate Misinformation,Social Media,1
1919,Female,1,Deliberate Misinformation,Word of Mouth,0
1920,Male,1,Deliberate Misinformation,Social Media,0
1921,Male,1,Social Media Sharing,Social Media,0
1922,Female,0,Deliberate Misinformation,Word of Mouth,0
1923,Male,1,Social Media Sharing,The Internet,0
1924,Male,0,Social Media Sharing,Word of Mouth,1
1925,Female,0,Deliberate Misinformation,Social Media,0
1926,Male,1,Deliberate Misinformation,The Internet,1
1927,Male,1,Deliberate Misinformation,Social Media,0
1928,Male,0,Social Media Sharing,The Internet,0
1929,Female,1,Social Media Sharing,Word of Mouth,0
1930,Female,0,Social Media Sharing,Word of Mouth,1
1931,Male,1,Social Media Sharing,The Internet,1
1932,Female,1,Social Media Sharing,Word of Mouth,1
1933,Male,1,Social Media Sharing,Social Media,0
1934,Male,0,Deliberate Misinformation,Social Media,0
1935,Male,0,Deliberate Misinformation,Word of Mouth,1
1936,Male,1,Deliberate Misinformation,The Internet,0
1937,Male,1,Social Media Sharing,Word of Mouth,1
1938,Male,0,Social Media Sharing,Social Media,0
1939,Female,0,Social Media Sharing,The Internet,0
1940,Female,0,Social Media Sharing,The Internet,1
1941,Male,0,Social Media Sharing,Word of Mouth,0
1942,Female,0,Social Media Sharing,The Internet,1
1943,Male,1,Deliberate Misinformation,Word of Mouth,0
1944,Female,0,Deliberate Misinformation,Social Media,0
1945,Male,0,Deliberate Misinformation,The Internet,0
1946,Male,0,Social Media Sharing,Social Media,0
1947,Male,0,Deliberate Misinformation,Word of Mouth,0
1948,Male,1,Social Media Sharing,Social Media,1
1949,Female,1,Deliberate Misinformation,Word of Mouth,1
1950,Male,0,Deliberate Misinformation,The Internet,1
1951,Female,0,Deliberate Misinformation,Word of Mouth,1
1952,Female,1,Deliberate Misinformation,Social Media,0
1953,Male,1,Deliberate Misinformation,The Internet,1
1954,Male,0,Social Media Sharing,Social Media,1
1955,Female,1,Deliberate Misinformation,Social Media,1
1956,Male,0,Social Media Sharing,Social Media,0
1957,Male,1,Social Media Sharing,The Internet,0
1958,Female,0,Deliberate Misinformation,Social Media,1
1959,Male,1,Deliberate Misinformation,The Internet,0
1960,Male,0,Deliberate Misinformation,The Internet,0
1961,Female,1,Deliberate Misinformation,Social Media,1
1962,Male,1,Social Media Sharing,Word of Mouth,1
1963,Male,1,Deliberate Misinformation,Word of Mouth,0
1964,Female,1,Deliberate Misinformation,The Internet,1
1965,Male,1,Social Media Sharing,Social Media,0
1966,Male,1,Deliberate Misinformation,Social Media,1
1967,Female,0,Social Media Sharing,The Internet,0
1968,Male,0,Deliberate Misinformation,Word of Mouth,1
1969,Male,0,Deliberate Misinformation,The Internet,0
1970,Male,0,Social Media Sharing,Word of Mouth,1
1971,Female,1,Deliberate Misinformation,The Internet,0
1972,Female,1,Deliberate Misinformation,Social Media,0
1973,Female,0,Social Media Sharing,Word of Mouth,0
1974,Male,1,Social Media Sharing,The Internet,1
1975,Male,1,Deliberate Misinformation,Social Media,1
1976,Male,1,Social Media Sharing,Social Media,1
1977,Female,1,Deliberate Misinformation,Word of Mouth,0
1978,Male,1,Deliberate Misinformation,Word of Mouth,0
1979,Male,0,Social Media Sharing,Social Media,1
1980,Female,1,Deliberate Misinformation,Word of Mouth,1
1981,Male,0,Deliberate Misinformation,Social Media,0
1982,Female,1,Deliberate Misinformation,Social Media,0
1983,Male,0,Deliberate Misinformation,Word of Mouth,1
1984,Male,0,Social Media Sharing,The Internet,1
1985,Male,1,Deliberate Misinformation,Social Media,1
1986,Female,1,Social Media Sharing,The Internet,0
1987,Male,1,Deliberate Misinformation,The Internet,1
1988,Male,1,Deliberate Misinformation,The Internet,1
1989,Female,0,Social Media Sharing,Social Media,1
1990,Female,1,Deliberate Misinformation,The Internet,1
1991,Female,0,Deliberate Misinformation,Word of Mouth,0
1992,Male,0,Social Media Sharing,The Internet,1
1993,Male,1,Deliberate Misinformation,Word of Mouth,1
1994,Male,0,Deliberate Misinformation,Word of Mouth,0
1995,Female,1,Deliberate Misinformation,The Internet,0
1996,Male,1,Deliberate Misinformation,Word of Mouth,0
1997,Male,1,Deliberate Misinformation,The Internet,0
1998,Female,1,Social Media Sharing,Social Media,1
1999,Male,0,Deliberate Misinformation,The Internet,1
2000,Male,1,Deliberate Misinformation,The Internet,0
2001,Female,1,Social Media Sharing,Social Media,0
2002,Female,0,Deliberate Misinformation,Social Media,0
2003,Male,1,Social Media Sharing,Social Media,1
2004,Male,1,Deliberate Misinformation,Word of Mouth,0
2005,Male,1,Social Media Sharing,Word of Mouth,1
2006,Male,1,Social Media Sharing,Social Media,1
2007,Male,0,Social Media Sharing,Social Media,0
2008,Male,0,Social Media Sharing,The Internet,1
2009,Male,0,Social Media Sharing,Social Media,1
2010,Female,0,Deliberate Misinformation,Word of Mouth,1
2011,Male,1,Deliberate Misinformation,The Internet,1
2012,Female,0,Social Media Sharing,The Internet,0
2013,Female,1,Social Media Sharing,The Internet,1
2014,Male,0,Social Media Sharing,Word of Mouth,0
2015,Male,1,Deliberate Misinformation,Social Media,0
2016,Male,0,Social Media Sharing,The Internet,1
2017,Female,1,Social Media Sharing,Social Media,1
2018,Male,0,Social Media Sharing,Word of Mouth,0
2019,Male,0,Deliberate Misinformation,Word of Mouth,1
2020,Female,1,Deliberate Misinformation,Word of Mouth,0
2021,Male,1,Deliberate Misinformation,The Internet,1
2022,Male,1,Social Media Sharing,The Internet,0
2023,Female,0,Social Media Sharing,Word of Mouth,0
2024,Female,1,Deliberate Misinformation,Word of Mouth,1
2025,Female,0,Deliberate Misinformation,The Internet,0
2026,Male,0,Deliberate Misinformation,Social Media,1
2027,Female,0,Deliberate Misinformation,The Internet,1
2028,Male,0,Social Media Sharing,Word of Mouth,1
2029,Female,1,Deliberate Misinformation,Word of Mouth,0
2030,Male,0,Deliberate Misinformation,Word of Mouth,0
2031,Female,1,Deliberate Misinformation,Social Media,0
2032,Female,1,Social Media Sharing,Social Media,1
2033,Male,0,Deliberate Misinformation,Social Media,0
2034,Female,0,Social Media Sharing,Social Media,0
2035,Female,1,Deliberate Misinformation,Social Media,1
2036,Male,1,Social Media Sharing,Word of Mouth,1
2037,Male,0,Social Media Sharing,Word of Mouth,0
2038,Male,1,Social Media Sharing,Social Media,1
2039,Male,0,Social Media Sharing,Social Media,1
2040,Female,1,Social Media Sharing,Word of Mouth,1
2041,Male,1,Deliberate Misinformation,Social Media,1
2042,Male,0,Deliberate Misinformation,Social Media,1
2043,Male,1,Deliberate Misinformation,Word of Mouth,1
2044,Male,1,Social Media Sharing,The Internet,0
2045,Male,0,Social Media Sharing,Social Media,1
2046,Male,0,Deliberate Misinformation,The Internet,0
2047,Male,1,Social Media Sharing,Word of Mouth,0
2048,Female,0,Social Media Sharing,The Internet,1
2049,Female,0,Deliberate Misinformation,The Internet,1
2050,Male,0,Social Media Sharing,Social Media,0
2051,Male,1,Deliberate Misinformation,The Internet,0
2052,Male,1,Social Media Sharing,Word of Mouth,1
2053,Female,1,Social Media Sharing,Social Media,1
2054,Female,0,Deliberate Misinformation,Social Media,1
2055,Female,0,Social Media Sharing,Social Media,0
2056,Male,1,Social Media Sharing,The Internet,0
2057,Female,0,Deliberate Misinformation,The Internet,0
2058,Female,0,Social Media Sharing,The Internet,0
2059,Male,0,Deliberate Misinformation,Word of Mouth,0
2060,Female,1,Social Media Sharing,Word of Mouth,1
2061,Male,0,Deliberate Misinformation,Word of Mouth,1
2062,Male,0,Social Media Sharing,Social Media,0
2063,Male,1,Deliberate Misinformation,Social Media,1
2064,Female,1,Deliberate Misinformation,Social Media,1
2065,Female,1,Social Media Sharing,Social Media,1
2066,Female,0,Deliberate Misinformation,Word of Mouth,1
2067,Male,0,Deliberate Misinformation,Word of Mouth,1
2068,Male,0,Social Media Sharing,Word of Mouth,0
2069,Male,1,Deliberate Misinformation,Social Media,1
2070,Male,0,Social Media Sharing,The Internet,0
2071,Male,0,Deliberate Misinformation,Word of Mouth,1
2072,Male,1,Deliberate Misinformation,Social Media,0
2073,Male,1,Deliberate Misinformation,Word of Mouth,1
2074,Male,1,Social Media Sharing,Word of Mouth,0
2075,Female,0,Deliberate Misinformation,Social Media,1
2076,Male,1,Deliberate Misinformation,The Internet,1
2077,Male,0,Deliberate Misinformation,Word of Mouth,1
2078,Female,1,Social Media Sharing,Social Media,1
2079,Male,0,Deliberate Misinformation,Word of Mouth,0
2080,Female,1,Deliberate Misinformation,The Internet,0
2081,Female,1,Social Media Sharing,Word of Mouth,1
2082,Male,1,Social Media Sharing,Word of Mouth,0
2083,Male,1,Deliberate Misinformation,Word of Mouth,1
2084,Male,1,Social Media Sharing,Word of Mouth,0
2085,Male,0,Social Media Sharing,Social Media,0
2086,Male,1,Social Media Sharing,The Internet,1
2087,Male,1,Social Media Sharing,Social Media,1
2088,Female,0,Social Media Sharing,Social Media,0
2089,Male,0,Deliberate Misinformation,Word of Mouth,0
2090,Male,1,Social Media Sharing,Word of Mouth,1
2091,Female,1,Deliberate Misinformation,The Internet,0
2092,Female,0,Deliberate Misinformation,Social Media,1
2093,Female,1,Social Media Sharing,Word of Mouth,0
2094,Male,0,Social Media Sharing,Word of Mouth,0
2095,Female,1,Deliberate Misinformation,Social Media,0
2096,Female,0,Social Media Sharing,The Internet,0
2097,Female,0,Social Media Sharing,Social Media,0
2098,Male,1,Social Media Sharing,Word of Mouth,0
2099,Female,1,Deliberate Misinformation,The Internet,1
2100,Male,0,Deliberate Misinformation,The Internet,1
2101,Female,1,Deliberate Misinformation,Social Media,0
2102,Female,1,Social Media Sharing,Social Media,1
2103,Female,0,Deliberate Misinformation,Social Media,0
2104,Female,0,Deliberate Misinformation,Social Media,1
2105,Female,1,Deliberate Misinformation,The Internet,1
2106,Female,0,Deliberate Misinformation,The Internet,1
2107,Male,1,Social Media Sharing,Social Media,0
2108,Female,0,Social Media Sharing,The Internet,1
2109,Male,1,Social Media Sharing,The Internet,1
2110,Female,0,Social Media Sharing,Social Media,0
2111,Male,1,Deliberate Misinformation,Social Media,1
2112,Female,0,Deliberate Misinformation,Social Media,1
2113,Female,0,Deliberate Misinformation,Word of Mouth,1
2114,Male,0,Deliberate Misinformation,The Internet,1
2115,Male,1,Social Media Sharing,The Internet,1
2116,Female,1,Deliberate Misinformation,Word of Mouth,0
2117,Female,0,Social Media Sharing,Social Media,1
2118,Male,0,Deliberate Misinformation,Word of Mouth,1
2119,Female,0,Deliberate Misinformation,Social Media,1
2120,Female,0,Social Media Sharing,Social Media,0
2121,Female,1,Social Media Sharing,Social Media,0
2122,Male,1,Deliberate Misinformation,The Internet,1
2123,Female,0,Deliberate Misinformation,Word of Mouth,0
2124,Female,0,Deliberate Misinformation,The Internet,1
2125,Female,1,Deliberate Misinformation,Word of Mouth,0
2126,Female,0,Deliberate Misinformation,The Internet,0
2127,Male,1,Social Media Sharing,Word of Mouth,1
2128,Female,1,Social Media Sharing,The Internet,0
2129,Male,0,Deliberate Misinformation,Word of Mouth,0
2130,Male,0,Deliberate Misinformation,The Internet,1
2131,Female,1,Social Media Sharing,The Internet,0
2132,Female,0,Social Media Sharing,The Internet,1
2133,Male,1,Deliberate Misinformation,The Internet,1
2134,Male,1,Social Media Sharing,The Internet,1
2135,Female,1,Social Media Sharing,The Internet,0
2136,Female,1,Social Media Sharing,Word of Mouth,1
2137,Female,0,Deliberate Misinformation,The Internet,0
2138,Male,1,Social Media Sharing,Word of Mouth,1
2139,Female,1,Social Media Sharing,Word of Mouth,1
2140,Male,0,Deliberate Misinformation,Word of Mouth,1
2141,Male,0,Social Media Sharing,Social Media,0
2142,Male,0,Social Media Sharing,Word of Mouth,1
2143,Female,0,Social Media Sharing,The Internet,1
2144,Male,1,Deliberate Misinformation,Social Media,0
2145,Female,0,Social Media Sharing,Social Media,1
2146,Female,1,Social Media Sharing,The Internet,1
2147,Female,1,Social Media Sharing,Word of Mouth,1
2148,Male,0,Social Media Sharing,Word of Mouth,0
2149,Male,0,Deliberate Misinformation,Social Media,1
2150,Female,1,Social Media Sharing,Word of Mouth,1
2151,Female,0,Social Media Sharing,Word of Mouth,1
2152,Female,1,Deliberate Misinformation,The Internet,1
2153,Male,1,Deliberate Misinformation,Word of Mouth,1
2154,Male,1,Social Media Sharing,Social Media,0
2155,Male,1,Deliberate Misinformation,Social Media,0
2156,Female,0,Deliberate Misinformation,Social Media,1
2157,Male,0,Social Media Sharing,The Internet,0
2158,Female,0,Deliberate Misinformation,Word of Mouth,0
2159,Female,1,Deliberate Misinformation,Word of Mouth,1
2160,Male,1,Social Media Sharing,Word of Mouth,1
2161,Female,1,Social Media Sharing,The Internet,1
2162,Female,1,Deliberate Misinformation,The Internet,0
2163,Male,1,Deliberate Misinformation,Social Media,1
2164,Female,0,Deliberate Misinformation,Word of Mouth,0
2165,Female,1,Social Media Sharing,Word of Mouth,0
2166,Male,1,Social Media Sharing,Word of Mouth,0
2167,Female,0,Deliberate Misinformation,The Internet,1
2168,Female,0,Deliberate Misinformation,Social Media,0
2169,Female,0,Deliberate Misinformation,The Internet,1
2170,Male,1,Deliberate Misinformation,The Internet,1
2171,Female,1,Deliberate Misinformation,The Internet,0
2172,Male,1,Deliberate Misinformation,Word of Mouth,0
2173,Female,1,Deliberate Misinformation,Word of Mouth,1
2174,Female,1,Social Media Sharing,Word of Mouth,1
2175,Male,0,Social Media Sharing,Social Media,1
2176,Male,0,Deliberate Misinformation,Social Media,0
2177,Female,0,Social Media Sharing,Word of Mouth,1
2178,Male,0,Social Media Sharing,Social Media,0
2179,Female,1,Deliberate Misinformation,Social Media,1
2180,Male,0,Social Media Sharing,The Internet,1
2181,Female,0,Social Media Sharing,Social Media,0
2182,Female,0,Social Media Sharing,Social Media,1
2183,Male,0,Deliberate Misinformation,Social Media,0
2184,Male,1,Social Media Sharing,The Internet,0
2185,Male,0,Social Media Sharing,The Internet,1
2186,Female,1,Deliberate Misinformation,Word of Mouth,1
2187,Female,0,Deliberate Misinformation,Social Media,0
2188,Male,0,Social Media Sharing,Social Media,1
2189,Female,0,Social Media Sharing,The Internet,1
2190,Female,0,Deliberate Misinformation,The Internet,1
2191,Female,0,Deliberate Misinformation,The Internet,1
2192,Male,0,Social Media Sharing,Social Media,1
2193,Female,1,Social Media Sharing,Word of Mouth,0
2194,Female,1,Deliberate Misinformation,Social Media,0
2195,Female,0,Social Media Sharing,Social Media,1
2196,Female,1,Deliberate Misinformation,The Internet,0
2197,Female,1,Social Media Sharing,The Internet,1
2198,Female,0,Deliberate Misinformation,Social Media,0
2199,Male,1,Deliberate Misinformation,Word of Mouth,1
2200,Male,1,Social Media Sharing,Word of Mouth,1
2201,Female,0,Deliberate Misinformation,The Internet,0
2202,Male,0,Social Media Sharing,Social Media,1
2203,Male,0,Social Media Sharing,Social Media,0
2204,Male,0,Deliberate Misinformation,The Internet,0
2205,Male,0,Social Media Sharing,The Internet,0
2206,Male,0,Deliberate Misinformation,The Internet,0
2207,Male,1,Deliberate Misinformation,Social Media,1
2208,Female,0,Deliberate Misinformation,Word of Mouth,0
2209,Male,1,Social Media Sharing,Social Media,0
2210,Female,1,Deliberate Misinformation,The Internet,1
2211,Male,1,Deliberate Misinformation,Word of Mouth,1
2212,Female,1,Deliberate Misinformation,Word of Mouth,0
2213,Male,1,Social Media Sharing,Social Media,0
2214,Female,0,Social Media Sharing,Social Media,0
2215,Male,1,Deliberate Misinformation,Social Media,1
2216,Male,1,Social Media Sharing,Social Media,1
2217,Male,0,Deliberate Misinformation,Word of Mouth,0
2218,Female,1,Deliberate Misinformation,Social Media,1
2219,Female,1,Deliberate Misinformation,Word of Mouth,0
2220,Female,1,Deliberate Misinformation,The Internet,0
2221,Male,1,Deliberate Misinformation,The Internet,1
2222,Male,0,Deliberate Misinformation,The Internet,0
2223,Male,0,Deliberate Misinformation,The Internet,1
2224,Female,1,Social Media Sharing,Social Media,0
2225,Female,1,Deliberate Misinformation,The Internet,1
2226,Female,0,Deliberate Misinformation,Word of Mouth,0
2227,Female,1,Deliberate Misinformation,Social Media,0
2228,Male,1,Deliberate Misinformation,Social Media,0
2229,Male,0,Deliberate Misinformation,Social Media,0
2230,Male,1,Social Media Sharing,Social Media,0
2231,Female,1,Deliberate Misinformation,Word of Mouth,0
2232,Male,1,Deliberate Misinformation,Word of Mouth,0
2233,Male,1,Social Media Sharing,Social Media,0
2234,Male,1,Deliberate Misinformation,The Internet,0
2235,Female,1,Deliberate Misinformation,The Internet,0
2236,Female,0,Social Media Sharing,Word of Mouth,0
2237,Female,0,Deliberate Misinformation,The Internet,0
2238,Male,0,Social Media Sharing,Word of Mouth,1
2239,Male,1,Deliberate Misinformation,Word of Mouth,1
2240,Male,1,Social Media Sharing,Social Media,1
2241,Male,0,Social Media Sharing,Word of Mouth,1
2242,Female,0,Social Media Sharing,Word of Mouth,1
2243,Male,0,Deliberate Misinformation,Social Media,1
2244,Female,0,Social Media Sharing,Word of Mouth,0
2245,Male,1,Deliberate Misinformation,The Internet,1
2246,Male,1,Social Media Sharing,Word of Mouth,1
2247,Male,1,Deliberate Misinformation,Word of Mouth,0
2248,Female,1,Deliberate Misinformation,Social Media,0
2249,Female,0,Deliberate Misinformation,The Internet,0
2250,Male,0,Deliberate Misinformation,The Internet,0
2251,Male,1,Social Media Sharing,The Internet,1
2252,Male,1,Deliberate Misinformation,The Internet,0
2253,Female,0,Social Media Sharing,Word of Mouth,0
2254,Female,1,Social Media Sharing,Word of Mouth,1
2255,Male,1,Deliberate Misinformation,Word of Mouth,0
2256,Male,0,Social Media Sharing,Word of Mouth,1
2257,Male,0,Social Media Sharing,Social Media,0
2258,Female,0,Social Media Sharing,Word of Mouth,1
2259,Female,0,Social Media Sharing,Social Media,0
2260,Female,1,Social Media Sharing,Word of Mouth,0
